Year,Block Huts - Broad Gauge,Block Huts - Metre Gauge,Block Huts - Narrow Gauge,Block Huts - Total,Halts - Broad Gauge,Halts - Metre Gauge,Halts - Narrow Gauge,Halts - Total
1964-65,94,4,1,99,234,287,149,670
1965-66,95,4,1,100,250,284,165,699
1966-67,90,0,0,90,262,295,171,728
1967-68,97,0,1,98,264,312,184,760
1968-69,101,0,1,102,271,340,179,790
1969-70,94,0,0,94,281,350,182,813
1970-71,90,1,0,91,296,360,185,841
1971-72,90,1,0,91,312,372,187,871
1972-73,107,1,0,108,314,389,190,893
1973-74,109,2,1,112,324,394,195,913
1974-75,112,1,1,114,339,401,190,930
1975-76,113,1,1,115,349,440,190,979
1976-77,155,1,3,159,375,465,194,1034
1977-78,152,1,3,156,382,488,194,1064
1978-79,146,1,3,150,433,513,196,1142
1979-80,151,3,3,157,458,524,201,1183
1980-81,155,2,20,177,491,528,207,1226
1981-82,159,1,3,163,507,531,207,1245
1982-83,163,1,7,171,506,553,221,1280
1983-84,172,1,7,180,521,554,225,1300
1984-85,181,0,6,187,565,544,226,1335
1985-86,192,0,6,198,577,560,226,1363
1986-87,204,0,2,206,586,575,232,1393
1987-88,214,0,3,217,612,609,239,1460
1988-89,214,0,3,217,651,624,248,1523
1989-90,214,0,3,217,689,648,250,1587
1990-91,218,0,3,221,710,650,255,1615
1991-92,222,0,2,224,670,630,254,1554
1992-93,229,0,2,231,759,614,243,1616
1993-94,229,0,2,231,799,595,249,1643
1994-95,230,0,2,232,843,561,207,1611
1995-96,219,30,0,249,941,557,233,1731
1996-97,215,27,0,242,883,550,218,1651
1997-98,192,30,0,222,834,520,227,1581
1998-99,189,2,0,191,893,473,228,1594
1999-00,190,0,0,190,971,451,215,1637
2000-01,207,0,0,207,1017,449,221,1687
2001-02,187,0,0,187,1094,545,197,1836
2002-03,144,10,0,154,1062,404,207,1673
2003-04,124,13,0,137,1255,501,156,1912
2004-05,144,3,0,147,1202,372,74,1648
2005-06,183,3,0,186,1336,367,199,1902
2006-07,226,3,0,229,1387,344,196,1927
2007-08,241,0,0,241,1445,285,219,1949
2008-09,305,0,0,305,1485,251,192,1928
2009-10,365,0,0,365,1481,243,195,1919
2010-11,392,0,0,392,1489,232,195,1916
2011-12,401,0,0,401,1493,195,159,1847
2012-13,417,0,0,417,1483,186,148,1817
2013-14,432,0,0,432,1507,163,146,1816
